Индекс,name,Код КЛАДР,Код ФИАС,Код ОКАТО,Код ОКТМО,Код ИФНС, Часовой пояс,lat,lon,pop
385200, Адыгейск,100000200000, ccdfd496-8108-4655-aadd-bd228747306d,79403000000,79703000001,107, UTC3, 44.8783715, 39.190172,12689
385000, Майкоп,100000100000, 8cfbe842-e803-49ca-9347-1ef90481dd98,79401000000,79701000001,105, UTC4, 44.6098268, 40.1006527,144055
649000, Горно-Алтайск,400000100000, 0839d751-b940-4d3d-afb6-5df03fdd7791,84401000000,84701000,400, UTC9, 51.9582681, 85.9602957,62861
658125, Алейск,2200000200000, ae716080-f27b-40b6-a555-cf8b518e849e,1403000000,1703000,2201, UTC10, 52.4920914, 82.7794145,28528
656000, Барнаул,2200000100000, d13945a8-7017-46ab-b1e6-ede1e89317ad,1401000000,1701000,2200, UTC11, 53.3481145, 83.7798362,635585
659900, Белокуриха,2200000300000, e4edca96-9b86-4cac-8c7f-cc93d9ba4cd1,1404000000,1704000001,2204, UTC12, 51.9960534, 84.9840343,15072
659300, Бийск,2200000400000, 52f876f6-cb1d-4f23-a22f-b692609fc1e0,1405000000,1705000001,2204, UTC13, 52.5393683, 85.2138852,203826
658420, Горняк,2202700100000, 094b3627-2699-4782-8492-4d82aac71958,1225501000,1625101,2209, UTC14, 50.9979032, 81.4643059,13040
659100, Заринск,2200001100000, 142e04ef-dec1-44fa-b553-fac215764374,1406000000,1706000001,2208, UTC15, 53.7063495, 84.9314703,47035
658480, Змеиногорск,2201500100000, e7001b8f-d104-4873-96d4-66339f5e530a,1214501000,1614101,2209, UTC16, 51.1580235, 82.1872476,10569
658700, Камень-на-Оби,2201800100000, 810ca9c7-f10e-4def-9c48-f0aa83168ca7,1216501000,1616101001,2207, UTC17, 53.7915454, 81.3545173,41787
658041, Новоалтайск,2200000800000, aa288d9f-4b2a-42a6-97f0-3502dddfa383,1413000000,1713000001,2208, UTC18, 53.4120811, 83.9311249,73134
658200, Рубцовск,2200000900000, 65db5c88-c65c-43f0-9c21-13e15a032d4a,1416000000,1716000,2209, UTC19, 51.5013075, 81.2077729,146386
658820, Славгород,2200001000000, 94ae181d-b153-4dd1-8a2f-12852919875f,1419000000,1719000001,2210, UTC20, 52.9993053, 78.6459674,30370
658837, Яровое,2200001200000, e07d57ed-22ce-4020-b59c-f7aae6f091bf,1430000000,1730000,2210, UTC21, 52.9251728, 78.5729898,18085
676805, Белогорск,2800000300000, c528e99b-7e81-4290-9cda-8713884472a5,10410000000,10710000,2804, UTC24, 50.9212235, 128.4738742,68220
675000, Благовещенск,2800000100000, 8f41253d-6e3b-48a9-842a-25ba894bd093,10401000000,10701000,2801, UTC25, 50.2905935, 127.5272186,214397
676870, Завитинск,2800500100000, 7b39476f-0edb-4bc3-bb31-6cedfb2aa695,10221501000,10621101,2813, UTC26, 50.1064678, 129.4392897,11481
676151, Зея,2800000400000, 581855f4-f0bc-44a5-a36e-a298279f9ec4,10412000000,10712000,2815, UTC27, 53.7339151, 127.2658079,25042
676770, Райчихинск,2800000200000, 981b5f3a-f0b6-444f-a6fb-c2bc10804b31,10420000000,10720000,2813, UTC28, 49.7941882, 129.4112149,20499
676450, Свободный,2800000500000, dd560dfa-3feb-48e2-aa3b-b71213e7441e,10430000000,10730000,2807, UTC29, 51.361264, 128.1218995,58594
676011, Сковородино,2801700100000, 260c545f-883c-440a-852c-c39a65fe4104,10249501000,10649101,2808, UTC30, 53.9871004, 123.943729,9561
676280, Тында,2800000600000, 007e010f-e110-4a55-90a7-c4acac623c9b,10432000000,10732000,2808, UTC31, 55.1546401, 124.7468634,35574
676470, Циолковский,2800001000000, f9ce3255-3f79-4457-919c-d180fa813b6a,10570000000,10770000001,2807, UTC32, 51.7624346, 128.121972,6208
676301, Шимановск,2800000700000, 809f0591-bb18-40a2-9fac-7d3d0a22c0bf,10440000000,10740000,2807, UTC33, 52.0052856, 127.7006559,19815
163000, Архангельск,2900000100000, 06814fb6-0dc3-4bec-ba20-11f894a0faf5,11401000000,11701000,2901, UTC28, 64.5392985, 40.5170083,348716
165150, Вельск,2900200100000, 71051070-fce3-4a4d-a9d9-cd50f6dc6310,11205501000,11605101,2907, UTC29, 61.0660057, 42.1032858,23885
164110, Каргополь,2900600100000, a670f317-f3c4-4dd6-9d27-fa68a8b28b6f,11218501000,11618101,2918, UTC30, 61.5008762, 38.9636415,10148
165650, Коряжма,2900000500000, 782acb50-ddfa-4483-bcbd-a5e667976036,11408000000,11708000,2904, UTC31, 61.2885993, 47.1002315,39629
165300, Котлас,2900800100000, 93adb246-540e-40a2-a0fd-e96ca6796589,11410000000,11710000,2904, UTC32, 61.2529842, 46.6331915,60562
164750, Мезень,2901200100000, 8a49f67f-6c48-4160-bd1d-ebc188a69269,11242501000,11642101,2932, UTC33, 65.8398386, 44.2531865,3599
164170, Мирный,2900000200000, 977c7606-1b37-4424-84f7-b0c66c3e4b94,11525000000,11725000,2920, UTC34, 62.7644267, 40.3359976,30259
164900, Новодвинск,2900000300000, 3b0ef6c2-9bcd-44a5-afec-2723bd8190bc,11415000000,11715000,2900, UTC35, 64.4136023, 40.8208003,40612
164200, Няндома,2901300100000, 491b0861-0da5-4781-9c2c-521df0ea7af6,11244501000,11644101,2918, UTC36, 61.6653735, 40.2061699,22354
164840, Онега,2901400100000, 53e6ddd5-a1fb-4444-89a4-3952ef6f114b,11420000000,11646101001,2900, UTC37, 63.9163966, 38.0805749,21359
164500, Северодвинск,2900000400000, 32747c72-c08b-4440-b340-91f48d72f9db,11430000000,11730000,2932, UTC38, 64.56253, 39.8182715,192265
165330, Сольвычегодск,2900800300000, a56a44ee-f79d-4e51-b219-c3c828c7e0c0,11227504000,11627104,2904, UTC39, 61.3318091, 46.920351,2460
165160, Шенкурск,2901900100000, 74a26d75-38a6-485a-9468-52dd7c6711fa,11258501000,11658101,2907, UTC40, 62.1057423, 42.89959,5702
414000, Астрахань,3000000100000, a101dd8b-3aee-4bda-9c61-9df106f145ff,12401000000,12701000,3000, UTC42, 46.3655808, 48.0559979,520662
416500, Ахтубинск,3000200100000, 8d7acd62-cef4-4d5c-8057-644ee454ce6c,12205501000,12605101,3022, UTC43, 48.2753078, 46.1906741,41898
416540, Знаменск,3000000200000, 54ecd5a8-83d9-4a85-ae2c-6fe6976ab716,12519000000,12719000,3022, UTC44, 48.5865618, 45.7367908,29357
416340, Камызяк,3000600100000, bc643e13-dcc5-4fa4-8cb1-94f71c5c18f4,12225501000,12625101,3023, UTC45, 46.1105429, 48.0732724,16291
416111, Нариманов,3000900100000, 46ce55dd-e3e2-4c31-ab3c-273423c2f782,12240501000,12640101,3023, UTC46, 46.6916597, 47.8501624,11386
416010, Харабали,3001100100000, 08373220-e187-4094-82de-b8e0864c5f38,12245501000,12645101,3000, UTC47, 47.4089187, 47.2524467,18209
452920, Агидель,200000200000, 8294b97c-7553-499e-8369-821d6eb0fdc7,80403000000,80703000,264, UTC49, 55.89976, 53.9221149,16365
453630, Баймак,200600100000, 874d4c58-31cd-4309-80db-8f14863efdbb,80404000000,80606101001,267, UTC50, 52.5912632, 58.3111995,17710
452000, Белебей,200900100000, 11e85c3e-c276-43b3-94e8-6b7f6cde5ac1,80405000000,80609101,200, UTC51, 54.1033832, 54.1111878,60183
453500, Белорецк,201100100000, dd65b1de-c076-4126-9b56-c4b4979e2b0f,80410000000,80611101,200, UTC52, 53.9675927, 58.4099562,68804
452450, Бирск,201300100000, 8c049a5c-f080-4052-93a9-89decf401900,80415000000,80613101,277, UTC53, 55.4157107, 55.5582335,41637
453430, Благовещенск,201500100000, da7ef573-cdbe-458e-a790-b29ad3a3d140,80417000000,80615101,277, UTC54, 55.0499592, 55.955309,34246
453400, Давлеканово,205900100000, d820f602-8763-4f63-be89-10077a2f025b,80419000000,80622101,273, UTC55, 54.2227617, 55.0313419,24040
452320, Дюртюли,206000100000, d4ac608f-5096-4529-bab2-68a26c64272e,80418000000,80624101,278, UTC56, 55.4848047, 54.8524875,31272
453200, Ишимбай,202600100000, b3d2e10f-752d-4b90-b54b-9d6545f38ae0,80420000000,80631101,261, UTC57, 53.4546314, 56.043874,66259
453300, Кумертау,200000700000, 48e38991-07fd-4aaa-b240-a7280e4a823f,80423000000,80723000,261, UTC58, 52.7565537, 55.7969915,62854
453570, Межгорье,200000800000, 5fd3a551-8553-4571-bfc8-2bfb211686f5,80507000000,80707000,200, UTC59, 54.239683, 57.96146,17353
453853, Мелеуз,203500100000, c516337d-f590-439b-83ad-6f15a9325740,80425000000,80641101,261, UTC60, 52.9590637, 55.9283483,61408
452680, Нефтекамск,200000300000, 2c9997d2-ce94-431a-96c9-722d2238d5c8,80427000000,80727000001,264, UTC61, 56.0883075, 54.2483391,121757
452601, Октябрьский,200000400000, abd1bc35-ec51-437a-abee-76a4f620f662,80435000000,80735000,269, UTC62, 54.4815344, 53.4656611,109379
453250, Салават,200000500000, fc14353f-5a1d-4f22-94ea-b900bad9a9f1,80439000000,80739000001,261, UTC63, 53.3616311, 55.9245559,156085
453830, Сибай,200000600000, d7825646-76f7-4322-a88c-42cc90cbd2b2,80443000000,80743000001,267, UTC64, 52.7205811, 58.6663303,62732
453100, Стерлитамак,200001400000, 84e0b23d-82fe-40a8-8739-55e679780dc3,80445000000,80745000,268, UTC65, 53.6302498, 55.9315707,273432
452750, Туймазы,204400100000, 511a0136-f60c-451b-a2eb-3402103f1223,80450000000,80651101,269, UTC66, 54.5999889, 53.6949081,66849
450000, Уфа,200000100000, 7339e834-2cb4-4734-a4c7-1fca2c66e562,80401000000,80701000,200, UTC67, 54.734853, 55.9578647,1062300
453700, Учалы,204600100000, 7b2b052a-49df-4aff-a36f-fb82957da2ea,80455000000,80653101,256, UTC68, 54.3066965, 59.4126559,37771
452800, Янаул,205200100000, 21de303b-205d-4d37-81c9-63d10246e1af,80460000000,80659101,264, UTC69, 56.2650336, 54.9298314,26988
309850, Алексеевка,3100200100000, 94969f84-fff4-4ddf-9677-b912b4b2aa3e,14410000000,14605101001,3122, UTC68, 50.6299932, 38.6881776,39026
308000, Белгород,3100000100000, 02e9c019-ab4d-4fa0-928e-d6c0a41dc256,14401000000,14701000,3123, UTC69, 50.5977351, 36.5858236,356426
309910, Бирюч,3101200100000, eaaf5809-d1e2-4d93-8f05-85dd598cc403,14242501000,14642151,3122, UTC70, 50.6483899, 38.4006203,7842
